College Name,College Address,College Contact,College Rating,College Likes,College Follow,College Website,College Type,Open Hours
Colleges Nepal,"Putalisadak (1.07 mi) Kathmandu, Nepal ",01-4239740,4.6,"116,906 ","135,236 ",www.collegesnepal.com,College & University, 9:00 AM - 5:00 PM 
Colleges Nepal,Not Found,Not Found,Not Found,3 ,3 ,Not Found,Comedian,Not Found
Maya Group Of Colleges Nepal,"Nepal (3,402.88 mi) Janakpur ",981-7601221,5,529 ,539 ,mayagroup.org.in,College & University, Always 
PRIME COLLEGE,"Khusibun, Nayabazar (0.51 mi) Kathmandu, Nepal 44611",01-4361690 Ext 4390072,4.5,"19,665 ","22,581 ",www.prime.edu.np,College & University · School, 6:00 AM - 5:00 PM 
Premier Schools and Colleges Exhibition Nepal,Not Found,Not Found,Not Found,"22,147 ","22,125 ",www.afairs.com/microsite/pse,Education,Not Found
WLC College Nepal,Not Found,01-4782063,Not Found,"4,574 ","4,573 ",www.wlccollege.edu.np,College & University,Not Found
Nepal Mega College,Not Found,01-5705488,Not Found,"15,865 ","15,854 ",www.nepalmegacollege.edu.np,College & University,Not Found
IT-College Nepal,Not Found,Not Found,Not Found,829 ,828 ,www.itcollegenepal.com,Website,Not Found
CollegesNepal,Not Found,Not Found,Not Found,282 ,284 ,www.collegesnepal.com/cn,Education,Not Found
Miss Colleges Nepal,"Putalisadak (1.07 mi) Kathmandu, Nepal ",01-4429333,4.8,"14,540 ","14,539 ",Not Found,Education · Organization,Not Found
Colleges In Nepal,Not Found,Not Found,Not Found,227 ,229 ,Not Found,Organization,Not Found
Kantipur Engineering College,"Dhapakhel (5.48 mi) Lalitpur, Nepal 44600",Not Found,4.5,"19,970 ","19,985 ",kec.edu.np,College & University · Engineering Service, 7:00 AM - 3:15 PM 
Nepal College of Management,"Dhobighat,Lalitpur (2.78 mi) Patan, Nepal 44600",01-5188353,4.2,"19,278 ","19,285 ",www.ncm.edu.np,Community College, 7:00 AM - 2:00 PMCloses in 40 minutes
The SET Council | St. Xavier's College Nepal,Not Found,984-9949163,5,"2,558 ","2,554 ",Not Found,Education, Always 
Rungta - R1 College Information Center Nepal,"Bagbazar Road (1.07 mi) Kathmandu, Nepal 44600",985-1207452,5,"10,093 ","10,092 ",rungta.ac.in,School, Always 
Modern Nepal College [MNC],"Sorhakhutte, Bahati Pokhari, Buddha Tole Marg, Nayabazar (0.48 mi) Kathmandu, Nepal 44600",01-4355304,4.8,"2,851 ","2,859 ",www.mncollege.edu.np,College & University, 8:00 AM - 5:00 PM 
Nepal College of Travel and Tourism Management(NCTTM),"Ratopul (1.85 mi) Kathmandu, Nepal 00977",+977-4465930,4.3,"11,604 ","11,567 ",www.ncttm.edu.np,Community College, 9:00 AM - 5:00 PM 
Nepal Medical College,Not Found,01-4911008,Not Found,"3,099 ","3,128 ",www.nmcth.edu,College & University,Not Found
Precious National Academy & College Nepal,Not Found,01-4353290,Not Found,"1,160 ","1,155 ",www.preciouscollege.edu.np,Education,Not Found
"Campion College - Kathmandu, Nepal","kupondole,lalitpur (1.62 mi) Lalitpur, Nepal ",01-5521753 Ext 5531432,4.2,"13,963 ","13,963 ",cgeducation.com.np/campion_college.php,High School · Community College, Always 
