College Name,College Address,College Contact,College Rating,College Likes,College Follow,College Website,College Type,Open Hours
Colleges Nepal,"Putalisadak (1.07 mi) Kathmandu, Nepal Get Directions",01-4239740,4.6,"116,381 people like this","133,498 people follow this",www.collegesnepal.com,College & University,Hours 9:00 AM - 5:00 PMOpen Now
CollegesNepal,Not Found,Not Found,Not Found,280 people like this,282 people follow this,www.collegesnepal.com/cn,Education,Not Found
PRIME COLLEGE,"Khusibun, Nayabazar (0.51 mi) Kathmandu, Nepal 44611Get Directions",01-4361690 Ext 4390072,4.5,"19,657 people like this","22,577 people follow this",www.prime.edu.np,College & University · School,Hours 6:00 AM - 5:00 PMOpen Now
Calvary Chapel Bible College Nepal,"Thasikhel (3.42 mi) Lalitpur, Nepal Get Directions",Not Found,Not Found,"1,086 people like this","1,077 people follow this",www.ccbcnepal.com,School,Hours 9:00 AM - 3:30 PMOpen Now
USEF-Nepal EducationUSA Advising Center,"Gyaneswor (1.43 mi) Kathmandu, Nepal Get Directions",01-4414598,Not Found,"101,788 people like this","101,051 people follow this",www.educationusa.state.gov,Nonprofit Organization,Hours 10:00 AM - 4:00 PMOpen Now
Premier Schools and Colleges Exhibition Nepal,Not Found,Not Found,Not Found,"22,160 people like this","22,139 people follow this",www.afairs.com/microsite/pse,Education,Not Found
Nepal Medical College,Not Found,01-4911008,Not Found,"3,068 people like this","3,096 people follow this",www.nmcth.edu,College & University,Not Found
Nepal Orphans Home,Not Found,Not Found,Not Found,"3,419 people like this","3,333 people follow this",Nepalorphanshome.org,Nonprofit Organization,Not Found
Maya Universe Academy,"Byas 4 (64.32 mi) Tanahun, Nepal 33900Get Directions",981-4117106,4.8,"7,236 people like this","7,179 people follow this",www.mayauniverseacademy.org,Community College · Youth Organization,Hours Always Open
Nepal Ayurved Medical College and Teaching Hospital,Bhansar area (54.39 mi) Birgunj 44300Get Directions,051-529373,4.3,"2,084 people like this","2,088 people follow this",www.namc.edu.np,Hospital · College & University · School,Hours Always Open
